Page,Pageviews
/sports/the-top-5-wealthiest-soccer-players-on-the-planet.html/?a=viewall,"275,775"
/sports/worlds-highest-paid-soccer-players-2016.html/?a=viewall,"50,829"
/sports/the-worlds-5-highest-paid-soccer-players-in-2016.html/?a=viewall,"11,896"
/sports/the-5-most-expensive-soccer-transfer-fees-ever.html/?a=viewall,"9,192"
/sports/which-5-international-soccer-leagues-pay-their-players-the-most.html/?a=viewall,"8,111"
/sports/major-league-soccers-5-most-valuable-teams-in-2015.html/?a=viewall,"3,244"
